Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Sushi Menu,Sushi menu - Sushi Menu,0 - Vocab,Tuna,,鮪（マグロ）,,,
Sushi Menu,,,Bluefin Tuna,,本マグロ,,,
Sushi Menu,,,Bigeye Tuna,,メバチマグロ,,,
Sushi Menu,,,Yellowfin Tuna,,キハダマグロ,,,
Sushi Menu,,,Southern Bluefin Tuna,,ミナミマグロ,,,
Sushi Menu,,,Albacore Tuna,,ビンチョウマグロ,,,
Sushi Menu,,,Lean Tuna,,赤身,,,
Sushi Menu,,,Negitoro,,ネギトロ,,,
Sushi Menu,,,Fatty Tuna,,大トロ・中トロ,,,
Sushi Menu,,,Bonito,,鰹,,,
Sushi Menu,,,Young Yellowtail,,ハマチ,,,
Sushi Menu,,,Yellowtail / Japanese Amberjack,,ブリ,,,
Sushi Menu,,,Salmon,,鮭,,,
Sushi Menu,,,Fatty Salmon,,とろサーモン,,,
Sushi Menu,,,Onion Salmon,,オニオンサーモン,,,
Sushi Menu,,,Trout,,鱒,,,
Sushi Menu,,,Whale,,鯨,,,
Sushi Menu,,,Ayu,,鮎,,,
Sushi Menu,,,Shishamo,,シシャモ,,,
Sushi Menu,,,Pufferfish,,ふぐ,,,
Sushi Menu,,,Conger Eel,,穴子,,,
Sushi Menu,,,Eel,,鰻,,,
Sushi Menu,,,Shrimp,,海老,,,
Sushi Menu,,,Sweet Shrimp,,甘海老,,,
Sushi Menu,,,Prawn,,クルマエビ,,,
Sushi Menu,,,Botan Shrimp,,ボタンエビ,,,
Sushi Menu,,,Salmon Roe,,イクラ,,,
Sushi Menu,,,Sea Urchin,,ウニ,,,
Sushi Menu,,,Cod Roe,,たらこ,,,
Sushi Menu,,,Flying Fish Roe,,トビコ,,,
Sushi Menu,,,Fresh Whitebait,,生シラス,,,
Sushi Menu,,,Crab,,蟹,,,
Sushi Menu,,,Crab Miso,,カニ味噌,,,
Sushi Menu,,,Snow Crab,,ズワイガニ,,,
Sushi Menu,,,King Crab,,タラバガニ,,,
Sushi Menu,,,Herring Roe,,数の子,,,
Sushi Menu,,,Monkfish Liver,,あん肝,,,
Sushi Menu,,,Cod Milt,,白子,,,
Sushi Menu,,,Firefly Squid,,ホタルイカ,,,
Sushi Menu,,,Cucumber Roll,,かっぱ巻き,,,
Sushi Menu,,,Dried Gourd Roll,,かんぴょう巻き,,,
Sushi Menu,,,Pickled Radish Roll,,おしんこ巻き,,,
Sushi Menu,,,Fermented Soybean Roll,,納豆巻き,,,
Sushi Menu,,,Okra Fermented Soybean Roll,,オクラ納豆,,,
Sushi Menu,,,Tuna Roll,,鉄火巻き,,,
Sushi Menu,,,Fatty Tuna & Pickle Roll,,トロタク巻き,,,
Sushi Menu,,,Scallop & Cucumber Roll,,ヒモきゅう巻き,,,
Sushi Menu,,,Eel & Cucumber Roll,,アナきゅう巻き,,,
Sushi Menu,,,Corn Roll,,コーン巻き,,,
Sushi Menu,,,Tuna Salad Roll,,ツナサラダ巻き,,,
Sushi Menu,,,Inside-Out Roll,,裏巻き,,,
Sushi Menu,,,California Roll,,カリフォルニアロール,,,
Sushi Menu,,,Japanese Halfbeak,,細魚（サヨリ）,,,
Sushi Menu,,,Thread-sail Filefish,,カワハギ,,,
Sushi Menu,,,Rosy Seaperch,,ノドグロ,,,
Sushi Menu,,,Sea Bream,,鯛,,,
Sushi Menu,,,Flounder,,鮃,,,
Sushi Menu,,,Flounder's Edge,,えんがわ,,,
Sushi Menu,,,Amberjack,,ヒラマサ,,,
Sushi Menu,,,Greater Amberjack,,カンパチ,,,
Sushi Menu,,,Chicken Grunt,,イサキ,,,
Sushi Menu,,,Grouper,,ハタ,,,
Sushi Menu,,,Cutlassfish,,太刀魚,,,
Sushi Menu,,,Icefish,,白魚,,,
Sushi Menu,,,Spanish Mackerel,,鰆,,,
Sushi Menu,,,Sillago,,鱚,,,
Sushi Menu,,,Rockfish,,目張,,,
Sushi Menu,,,Sea Bass,,鱸,,,
Sushi Menu,,,Sculpin,,鰍,,,
Sushi Menu,,,Pike Conger,,鱧,,,
Sushi Menu,,,Gizzard Shad,,小肌,,,
Sushi Menu,,,Horse Mackerel,,鯵,,,
Sushi Menu,,,Sardine,,鰯,,,
Sushi Menu,,,Pacific Saury,,秋刀魚,,,
Sushi Menu,,,Flying Fish,,飛魚,,,
Sushi Menu,,,Barracuda,,梭子魚,,,
Sushi Menu,,,Herring,,鰊,,,
Sushi Menu,,,Mackerel,,鯖,,,
Sushi Menu,,,Pickled Mackerel,,しめ鯖,,,
Sushi Menu,,,Clam,,貝,,,
Sushi Menu,,,Scallop,,帆立,,,
Sushi Menu,,,Ark Shell,,赤貝,,,
Sushi Menu,,,Surf Clam,,青柳,,,
Sushi Menu,,,Japanese Cockle,,鳥貝,,,
Sushi Menu,,,Pen Shell,,平貝,,,
Sushi Menu,,,Whelk,,つぶ貝,,,
Sushi Menu,,,Giant Clam,,ミル貝,,,
Sushi Menu,,,Surf Clam,,ホッキ貝,,,
Sushi Menu,,,Turban Shell,,サザエ,,,
Sushi Menu,,,Oyster,,牡蠣,,,
Sushi Menu,,,Abalone,,鮑,,,
Sushi Menu,,,Octopus,,蛸,,,
Sushi Menu,,,Squid,,烏賊,,,
Sushi Menu,,,Bigfin Reef Squid,,アオリイカ,,,
Sushi Menu,,,Swordtip Squid,,ヤリイカ,,,
Sushi Menu,,,Squid Tentacles,,下足,,,
Sushi Menu,,,Mantis Shrimp,,蝦蛄,,,
Sushi Menu,,,Inari Sushi,,いなり寿司,,,
Sushi Menu,,,Tamagoyaki,,玉子・卵焼き,,,
Sushi Menu,,,Tempura,,天ぷら,,,
Sushi Menu,,,Hamburger Steak,,ハンバーグ,,,
Sushi Menu,,,Braised Pork Belly,,豚の角煮,,,
Sushi Menu,,,Meat Sushi,,肉寿司,,,
Sushi Menu,,,Avocado,,アボカド,,,
Sushi Menu,,,Shrimp Avocado Roll,,えびアボカド,,,
Sushi Menu,,,Salmon with Mayo,,サーモンマヨ,,,
Sushi Menu,,,Sprout Scallion Sushi,,芽ネギ,,,
Sushi Menu,,,Corn with Mayo,,コーンマヨ,,,
Sushi Menu,,,Ramen and Udon,,ラーメン・うどん,,,
Sushi Menu,,,Chawanmushi,,茶碗蒸し,,,
Sushi Menu,,,Mountain of French Fries,,山盛りポテトフライ,,,
Sushi Menu,,,Onion Rings,,オニオンリング,,,
Sushi Menu,,,Karaage,,唐揚げ,,,
Sushi Menu,,,Yakiniku,,焼肉,,,
Sushi Menu,,,Flavored Beef Ribs,,旨だれ牛カルビ,,,
Sushi Menu,,,Grilled Cheese Pork Ribs,,炙りチーズ豚カルビ,,,
Sushi Menu,,,Edamame,,枝豆,,,
Sushi Menu,,,Seafood Tartare,,海鮮ユッケ,,,
Sushi Menu,,,Pickled Cod Intestines,,チャンジャ,,,
Sushi Menu,,,Cheesecake,,チーズケーキ,,,
Sushi Menu,,,Tiramisu,,ティラミス,,,
Sushi Menu,,,Mille Crepe,,ミルクレープ,,,
Sushi Menu,,,Pudding,,プリン,,,
Sushi Menu,,,Vanilla Ice Cream,,バニラアイス,,,
Sushi Menu,,,Shaved Ice,,かき氷,,,
Sushi Menu,,,Warabi Mochi,,わらび餅,,,
Sushi Menu,,,Candied Sweet Potatoes,,大学芋,,,
Sushi Menu,,,Draft Beer,,生ビール,,,
Sushi Menu,,,Highball,,ハイボール,,,
Sushi Menu,,,Sake (Cold/Hot),,日本酒・冷酒・熱燗,,,
Sushi Menu,,,Regular,,並,,,
Sushi Menu,,,Premium,,上,,,
Sushi Menu,,,Deluxe,,特上,,,
Sushi Menu,,,1 Piece,,1貫,,,
Sushi Menu,,,2 Pieces,,2貫,,,
Sushi Menu,,,3 Pieces,,3貫,,,
Sushi Menu,,,1 Serving,,一人前,,,
Sushi Menu,,,2 Servings,,二人前,,,
Sushi Menu,,,3 Servings,,三人前,,,
Sushi Menu,,,Market Price,,時価,,,
Sushi Menu,,,High-end,,高級,,,
Sushi Menu,,,Sushi Chef,,板前,,,
Sushi Menu,,,Sashimi,,刺身,,,
Sushi Menu,,,Fresh,,新鮮,,,
Sushi Menu,,,Chopsticks and Plate,,箸・皿,,,
Sushi Menu,,,Counter,,カウンター席,,,
